@antenna_1
-31734.133,108496.414,-7061.209,0.707,0.000,-0.707,0.000,65520
-29304.227,118279.641,-10491.488,0.500,-0.500,-0.500,-0.500,65520
-27825.725,135111.609,-18998.502,0.707,0.000,0.707,0.000,65520
10519.846,142205.766,-13837.626,0.000,0.707,0.000,0.707,65520
-25300.410,176320.156,-1538.755,0.500,-0.500,0.500,0.500,65520
-25058.682,176294.594,10697.109,0.612,-0.612,0.354,0.354,65520
80947.500,142928.109,-15882.275,-0.707,-0.707,0.000,0.000,65520
-16599.254,176455.172,-58125.090,0.707,0.000,-0.707,0.000,65520
36046.027,189155.625,7769.644,1.000,0.000,0.000,0.000,65520
-27671.408,142377.125,-30143.189,0.000,-1.000,0.000,0.000,65520
26117.258,91661.047,-40815.797,0.000,1.000,0.000,0.000,65520
-12802.107,144616.625,-19010.395,0.707,0.707,0.000,0.000,65520
17285.746,89471.484,-24695.898,1.000,0.000,0.000,0.000,65520
81000.148,140820.234,1645.467,0.000,0.000,-1.000,0.000,65520
-10065.547,198903.219,-1489.882,0.707,0.707,0.000,0.000,65520
40165.004,191505.078,-10531.350,0.707,0.000,-0.707,0.000,65520
-62365.809,135931.484,15384.999,0.707,0.000,0.707,0.000,65520
-49298.668,144534.188,2459.623,0.707,0.707,0.000,0.000,65520
-84390.797,137832.125,38156.863,0.707,0.000,-0.707,0.000,65520
-80796.453,119128.547,-16660.707,0.707,0.707,0.000,0.000,65520
@antenna_2
-94470.555,135461.141,22930.709,0.707,0.000,-0.707,0.000,65520
-603.166,177579.422,-34640.082,0.707,0.707,0.000,0.000,65520
22122.637,117443.336,-82303.289,1.000,0.000,0.000,0.000,65520
-607.405,60268.523,-34643.164,0.707,-0.707,0.000,0.000,65520
64142.941,135468.141,22959.002,0.707,0.000,-0.707,0.000,65520
22121.488,117450.320,-103012.211,0.500,0.000,0.000,-0.866,65520
-597.836,217455.031,-34624.605,0.500,0.500,-0.500,0.500,65520
43616.535,135438.891,22963.734,0.354,0.612,-0.354,-0.612,65520
-56794.621,92213.297,-9109.265,0.707,-0.707,0.000,0.000,65520
@antenna_3
-22534.404,66027.805,-2794.351,0.707,0.707,0.000,0.000,65520
-21907.227,102410.430,-2231.451,0.500,0.500,0.500,0.500,65520
-60275.992,134319.781,-9089.090,0.707,0.000,0.000,0.707,65520
-17884.059,135506.812,10229.986,-0.363,0.607,0.606,0.363,65520
-17884.059,135498.328,16859.840,0.000,0.707,0.707,-0.000,65520
24899.377,113779.883,-68165.414,0.000,0.924,0.383,0.000,65520
24899.346,113779.883,-60817.621,0.000,0.924,0.383,0.000,65520
24884.781,113765.375,-53487.547,0.000,0.924,0.383,0.000,65520
31699.283,24563.223,-6838.260,0.000,0.707,0.707,0.000,65520
20217.500,19594.355,-10784.780,-0.500,0.500,0.500,-0.500,65520
